experiment_id,problem_type,timestamp,seed,n_cities,num_vehicles,p_layers,max_iter,momentum_mass,lmbda,exact_cost,exact_route,exact_time_sec,ground_state_energy,solver_name,quantum_cost,quantum_route,quantum_time_sec,approx_ratio,success_probability,evaluations_count
TSP_N5_Layers1_MaxIter=150_20260724_195212,TSP,20260724_195212,42,5,1,1,150,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",9.250640869140625e-05,21.919999999999998,CV-VQE,5.4624147563360844e-188,"[5, 4, 0, 1, 0]",5.23604679107666,4.0128772672514603e+188,3.701539221015676e-191,150
TSP_N5_Layers2_MaxIter=150_20260724_201059,TSP,20260724_201059,42,5,1,2,150,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",9.584426879882812e-05,21.919999999999998,CV-VQE,2.3189250884493493e-56,"[0, 0, 1, 2, 5]",8.710915327072144,9.452655503700538e+56,5.012331554887206e-61,150
TSP_N5_Layers3_MaxIter=150_20260724_202954,TSP,20260724_202954,42,5,1,3,150,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",8.702278137207031e-05,21.919999999999998,CV-VQE,0.10281724276188398,"[1, 5, 2, 0, 0]",12.811801195144653,213.1938127417486,1.3971055066826769e-05,150
TSP_N5_Layers4_MaxIter=150_20260724_204848,TSP,20260724_204848,42,5,1,4,150,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",9.989738464355469e-05,21.919999999999998,CV-VQE,6.197962639620007e-05,"[2, 1, 0, 1, 5]",16.818167448043823,353664.6035888964,1.550043116843473e-09,150
TSP_N5_Layers5_MaxIter=150_20260724_210739,TSP,20260724_210739,42,5,1,5,150,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",0.0001163482666015625,21.919999999999998,CV-VQE,3.231212036500005e-05,"[1, 2, 2, 1, 0]",20.774549961090088,678383.2120080667,1.3481628639374421e-09,150
TSP_N5_Layers1_MaxIter=175_20260724_212623,TSP,20260724_212623,42,5,1,1,175,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",7.867813110351562e-05,21.919999999999998,CV-VQE,4.224591541176224e-225,"[5, 5, 0, 0, 0]",5.296728849411011,5.188667303418632e+225,4.6528479055716815e-228,175
TSP_N5_Layers2_MaxIter=175_20260724_214828,TSP,20260724_214828,42,5,1,2,175,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",7.700920104980469e-05,21.919999999999998,CV-VQE,1.2288446637389368e-81,"[5, 4, 1, 0, 5]",10.09066367149353,1.7837893304842325e+82,4.2641319554359025e-86,175
TSP_N5_Layers3_MaxIter=175_20260724_221053,TSP,20260724_221053,42,5,1,3,175,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",8.797645568847656e-05,21.919999999999998,CV-VQE,0.028344696956826163,"[4, 3, 2, 0, 1]",14.870248794555664,773.3368973176154,9.161485424518054e-07,175
TSP_N5_Layers4_MaxIter=175_20260724_223328,TSP,20260724_223328,42,5,1,4,175,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",8.869171142578125e-05,21.919999999999998,CV-VQE,2.2160266201836627e-05,"[4, 1, 2, 4, 1]",19.67743992805481,989157.7926163758,3.522859919138228e-10,175
TSP_N5_Layers5_MaxIter=175_20260724_225553,TSP,20260724_225553,42,5,1,5,175,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",8.821487426757812e-05,21.919999999999998,CV-VQE,1.8815271814620107e-06,"[0, 0, 0, 5, 0]",24.184777975082397,11650110.727057057,5.167133976324929e-10,175
TSP_N5_Layers1_MaxIter=200_20260724_231808,TSP,20260724_231808,42,5,1,1,200,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",7.748603820800781e-05,21.919999999999998,CV-VQE,9.914121501439167e-254,"[5, 5, 0, 0, 0]",6.036870241165161,2.2109876297983656e+254,1.6681561656725062e-256,200
